,track_id,acousticness,danceability,duration_ms,instrumentalness,key,energy,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2359,0j1whACQqbHlGzSZaUh6uR,0.453,0.75,141395,0,8,0.569,0.252,-9.895,0,0.325,128.922,4,0.297
2360,76SBSmc38qQQSpkgBenb8U,0.195,0.654,166447,0,2,0.667,0.424,-6.27,1,0.264,145.867,4,0.738
2361,6Hh6pxNSScePI9zjKBIUg2,0.15,0.63,145676,0.0255,6,0.458,0.108,-14.172,1,0.0718,170.042,4,0.208
2362,3rKPRnYJ5b89bv5ZsLrogK,0.262,0.73,130520,2.07e-06,5,0.84,0.0296,-5.357,1,0.133,189.282,4,0.952
2363,5TnbMs8fTDVrqRGrCv3Y10,0.49,0.665,192360,0,11,0.802,0.208,-5.346,0,0.19,92.355,4,0.764
2364,16Gcy3xa5XTuxvjgbstCWi,0.113,0.779,206545,0,5,0.796,0.304,-7.168,0,0.12,164.989,4,0.661
2365,5mC6tVYVscr1YR4zD6p94h,0.329,0.706,206433,0,2,0.554,0.231,-9.705,1,0.301,142.948,4,0.593
2366,5TKjAQyTkezAQGz6eRMOL6,0.603,0.753,197912,1.73e-05,11,0.651,0.199,-7.269,0,0.105,98.972,4,0.386
2367,38doLxZXMnFU2rwImjshPY,0.235,0.71,221597,0.00196,5,0.934,0.172,-6.098,1,0.0825,104.018,4,0.65
2368,5flH7FY4ledAQboO5a0XQ5,0.357,0.785,122000,0.0118,1,0.638,0.0982,-7.081,1,0.109,127.058,4,0.348
2369,6XK6R1ir3k0iPkwGbmVIEV,0.221,0.706,159000,0,0,0.716,0.157,-5.263,1,0.13,100.025,4,0.0798
2370,30Xh83fw03PZ2Wfm36H4EZ,0.0632,0.782,147067,7.44e-05,2,0.618,0.15,-5.288,1,0.055,93.016,4,0.752
2371,0oDUxuieaQHOryhpTYVN0a,0.0883,0.793,183971,0,1,0.883,0.164,-4.599,1,0.234,102.015,4,0.795
2372,5HnyFhrOuU5ykgXkowDkBK,0.122,0.891,155493,0.0112,8,0.522,0.0913,-8.434,1,0.0952,141.924,4,0.81
2373,5Zf8ytWP3Q6LWoTPl4SGHO,0.108,0.821,186067,0,9,0.602,0.246,-6.628,1,0.168,90.035,4,0.628
2374,3PpWCS95gDUDRPko3u1MZ9,0.0451,0.647,166253,0,1,0.801,0.0628,-2.946,0,0.249,180.108,4,0.517
2375,3hK7qOPSyva12t0ldBvPqg,0.0523,0.741,259091,1.46e-05,1,0.723,0.101,-5.44,0,0.236,87.945,4,0.655
2376,6e9Ew4AECYwY5Xgs2ZKMgp,0.0902,0.815,195349,0.000854,11,0.67,0.0973,-4.076,1,0.109,172.014,4,0.768
2377,0km3c8Qiwi9kicTSTt9Ld1,0.457,0.849,193043,0.0564,9,0.61,0.125,-7.86,0,0.201,92.014,4,0.867
2378,46YrvybgPpjBL13f0uc8Oc,0.264,0.861,175670,0,8,0.779,0.118,-6.081,0,0.1,97.008,4,0.758
2379,6bK2pgaYV5XAilxpDLRfnA,0.114,0.889,197903,0.00171,10,0.811,0.124,-6.683,0,0.122,123.934,4,0.571
2380,2RQsLucjZb02cKkz3s8NZ5,0.124,0.728,187200,0,0,0.643,0.119,-8.016,1,0.0436,99.987,4,0.334
2381,0kTMK4gNFfLXaTb62w1UaJ,0.0492,0.835,176471,0,9,0.747,0.055,-4.65,1,0.083,102.003,4,0.432
2382,2BJWxD8xKrDv8vneTvTIm9,0.054,0.498,150000,0,8,0.625,0.175,-7.452,0,0.342,84.821,4,0.478
2383,6G1Mz5yMgn0ydOlIvTrZ65,0.526,0.554,213754,0,9,0.38,0.213,-10.666,1,0.0314,118.925,4,0.284
2384,08JFTmVHiVYQWK7ttF4t5A,0.0247,0.76,167007,0,6,0.482,0.148,-6.348,1,0.117,75.982,4,0.737
2385,4wz2VahIi49SPomvyT75nA,0.000268,0.731,286145,0.851,11,0.873,0.1,-7.746,0,0.0518,159.984,4,0.671
2386,4U1CD6Laspn0qUW0M4ks9w,0.618,0.533,210115,0.00096,3,0.563,0.164,-9.756,0,0.172,74.896,4,0.465
2387,4PBaAiuqaVtD0GzoabNN7E,0.0177,0.974,154644,0,1,0.775,0.201,-6.74,0,0.191,119.527,4,0.716
2388,5uR9iM09GsukaaOxZL08e0,0.303,0.449,127680,9.65e-05,7,0.433,0.0902,-12.094,1,0.427,166.024,4,0.272
2389,1doV2Lx8OT71sniQ0qBlUT,0.175,0.535,180208,0,8,0.703,0.319,-5.68,1,0.0955,143.551,4,0.661
2390,2sSHkfYdxqcBAPK6aRbKSq,0.0992,0.812,148258,0,2,0.832,0.045,-4.559,1,0.281,99.168,4,0.359
2391,59Wc02T0pCIUwzzemKALSF,0.00322,0.886,134151,0,2,0.776,0.104,-4.345,1,0.079,114.512,4,0.267
2392,3vJjNCY4BPhPoh1c60TENW,0.12,0.624,193285,0,0,0.829,0.363,-4.714,0,0.0444,106.059,4,0.828
